player,board1,board2,action
2,2336462209024,274877906944,2
1,2336462209024,275951648768,2
2,2336470597632,275951648768,3
1,2336470597632,278099132416,6
2,2353650466816,278099132416,2
1,2353650466816,278099197952,3
2,2353667244032,278099197952,1
1,2353667244032,346818674688,5
2,3453178871808,346818674688,1
1,3453178871808,347355545600,3
2,3453179002880,347355545600,6
1,3453179002880,347489763328,1
2,3453183197184,347489763328,6
1,3453183197184,347490811904,6
2,3453183205376,347490811904,3
1,3453183205376,347490812928,5
2,3461773139968,347490812928,5
1,3461773139968,347557921792,6
2,3461773140032,347557921792,3
1,3461773140032,347557921800,1
2,3461773172800,347557921800,5
1,3461773172800,347558446088,5
2,3461773176896,347558446088,5
1,3461773176896,347558446120,0
2,3496132915264,347558446120,0
2,584115552256,68719476736,5
1,584115552256,1168231104512,5
2,592705486848,1168231104512,1
1,592705486848,1168767975424,0
2,592973922304,1168767975424,5
1,592973922304,1168835084288,1
2,592978116608,1168835084288,4
1,592978116608,1173130051584,0
2,592980213760,1173130051584,1
1,592980213760,1173130084352,0
1,1445529124864,2389612429312,2
2,1445537513472,2389612429312,3
1,1445537513472,2389629206528,2
2,1445537579008,2389629206528,1
1,1445537579008,2389629239296,6
2,1445671796736,2389629239296,2
1,1445671796736,2389629239808,5
2,1454261731328,2389629239808,5
1,1454261731328,2389696348672,6
2,1454262779904,2389696348672,4
1,1454262779904,2939452162560,0
2,1454264877056,2939452162560,5
1,1454264877056,2939452686848,5
2,1454264881152,2939452686848,0
1,1454264881152,2939452703232,4
2,1458559848448,2939452703232,1
1,1458559848448,2939452703488,0
2,1458559848576,2939452703488,6
1,1458559848576,2939452711680,5
2,1458559848608,2939452711680,4
1,1458559848608,2939486266112,1
2,1458559848610,2939486266112,0
1,1458559848610,2939486266113,2
2,1458559848614,2939486266113,4
1,1458559848614,2939486528257,4
2,1458559850662,2939486528257,6
1,1458559850662,2939486528321,3
1,549755813888,4294967296,3
2,824633720832,4294967296,4
1,824633720832,4328521728,2
2,962072674304,4328521728,2
1,962072674304,5402263552,1
1,468419870720,3849398255616,4
2,468419872768,3849398255616,1
1,468419872768,3918117732352,1
2,468956743680,3918117732352,2
1,468956743680,3918126120960,5
2,477546678272,3918126120960,6
1,477546678272,3918260338688,3
2,2787567992832,1185444528128,4
1,2787567992832,1185444790272,1
2,2788104863744,1185444790272,0
1,2788104863744,1185713225728,1
2,2788109058048,1185713225728,1
1,2788109058048,1185713258496,4
2,2788109060096,1185713258496,0
1,2788109060096,1185715355648,6
2,2788110108672,1185715355648,6
1,2788110108672,1185715363840,3
2,3062988015616,1185715363840,3
1,3062988015616,1187862847488,3
2,3063004792832,1187862847488,4
1,3063004792832,1187862847504,3
2,3063004923904,1187862847504,3
1,3063004923904,1187862848528,2
2,3200443877376,1187862848528,0
1,3200443877376,1187862864912,0
2,3200443877504,1187862864912,1
1,3200443877504,1187862865168,1
2,3200443877506,1187862865168,3
1,3200443877506,1187862865176,0
2,3200443877507,1187862865176,6
1,3200443877507,1187862865240,2
2,3201517619331,1187862865240,2
1,3201517619331,1187871253848,5
2,3210107553923,1187871253848,5
2,549755813888,0,3
1,549755813888,274877906944,4
2,554050781184,274877906944,0
1,554050781184,309237645312,1
2,622770257920,309237645312,3
1,622770257920,311385128960,3
2,622787035136,311385128960,4
1,622787035136,311418683392,6
2,2821810290688,311418683392,4
1,2821810290688,311418945536,6
2,2838990159872,311418945536,3
1,2838990159872,311419076608,1
2,2839527030784,311419076608,1
1,2839527030784,311423270912,4
2,2839527032832,311423270912,6
1,2839527032832,311557488640,2
2,2976965986304,311557488640,4
1,2976965986304,311557488656,1
2,2976966019072,311557488656,3
1,2976966019072,311557489680,1
2,2976966019328,311557489680,1
1,2976966019328,311557489682,6
2,2976967067904,311557489682,0
1,2976967067904,311825925138,3
2,2976967067912,311825925138,6
1,2976967067912,311825933330,0
2,2976969165064,311825933330,2
1,2976969165064,312899675154,0
2,2976969181448,312899675154,6
1,2976969181448,312899675218,0
2,2976969181576,312899675218,0
1,2976969181576,312899675219,5
2,4076480809352,312899675219,5
1,4076480809352,321489609811,2
2,4076489197960,321489609811,2
2,1705236234240,2406792298496,6
1,1705236234240,2406793347072,1
2,1705240428544,2406793347072,4
1,1705240428544,2406826901504,5
2,1713830363136,2406826901504,0
1,1713830363136,2407095336960,2
2,1713838751744,2407095336960,1
1,1713838751744,2407095369728,6
2,1713838759936,2407095369728,5
1,1713838759936,2407162478592,4
2,1713839022080,2407162478592,3
1,1713839022080,2682040385536,3
1,0,0,3
2,274877906944,0,5
1,274877906944,1099511627776,0
2,309237645312,1099511627776,2
1,309237645312,1236950581248,3
2,311385128960,1236950581248,2
1,311385128960,1238024323072,2
2,311393517568,1238024323072,2
1,311393517568,1238024388608,5
2,319983452160,1238024388608,1
1,319983452160,1306743865344,3
2,320000229376,1306743865344,3
1,320000229376,1306743996416,3
2,320000230400,1306743996416,5
1,320000230400,1306811105280,1
2,320537101312,1306811105280,5
1,320537101312,1306811629568,6
2,2519560356864,1306811629568,1
1,2519560356864,1306815823872,1
2,2519560389632,1306815823872,4
1,2519560389632,1856571637760,2
2,2519560390144,1856571637760,4
1,2519560390144,1860866605056,3
2,2519560390152,1860866605056,4
1,2519560390152,1860900159488,4
2,2519560652296,1860900159488,4
1,2519560652296,1860900161536,5
2,2519560656392,1860900161536,2
1,2519560656392,1860900161540,1
2,2519560656648,1860900161540,6
1,2519560656648,1878080030724,0
2,2519829092104,1878080030724,6
1,2519829092104,1878214248452,1
2,2519829092106,1878214248452,0
1,2519829092106,1878216345604,4
2,2519829092122,1878216345604,0
1,2519829092122,1878216361988,5
2,2519829092154,1878216361988,0
1,2519829092154,1878216362116,6
2,2519830140730,1878216362116,0
2,34359738368,0,3
1,34359738368,274877906944,1
2,103079215104,274877906944,4
1,103079215104,824633720832,4
2,107374182400,824633720832,6
1,107374182400,3023656976384,5
2,1206885810176,3023656976384,3
1,1206885810176,3025804460032,4
2,1206919364608,3025804460032,1
1,1206919364608,3026341330944,3
2,1206936141824,3026341330944,6
1,1206936141824,3043521200128,2
2,1344375095296,3043521200128,4
1,1344375095296,3043521462272,6
2,1344509313024,3043521462272,1
1,1344509313024,3043525656576,1
2,1344509345792,3043525656576,5
1,1344509345792,3052115591168,2
2,1345583087616,3052115591168,5
1,1345583087616,3052182700032,5
2,1345583611904,3052182700032,3
1,1345583611904,3052182831104,3
2,1345583612928,3052182831104,1
1,1345583612928,3052182831360,0
2,1345852048384,3052182831360,1
1,1345852048384,3052182831362,3
